"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 20:29:41 GMT 2023","Tue Apr 18 20:29:42 GMT 2023","982","","PortioTest","","PortioTest","loginWithExistingUserTest","Login with existing user",""
"passed","Tue Apr 18 20:29:43 GMT 2023","Tue Apr 18 20:29:45 GMT 2023","1718","","PortioTest","","PortioTest","editProfileTest","Edit profile",""
"passed","Tue Apr 18 20:29:35 GMT 2023","Tue Apr 18 20:29:36 GMT 2023","1503","","PortioTest","","PortioTest","logoutTest","Logout",""
"passed","Tue Apr 18 20:29:28 GMT 2023","Tue Apr 18 20:29:31 GMT 2023","3214","","PortioTest","","PortioTest","registerTest","Registration",""
"passed","Tue Apr 18 20:29:42 GMT 2023","Tue Apr 18 20:29:43 GMT 2023","1397","","PortioTest","","PortioTest","saveImageTest","Save image",""
"passed","Tue Apr 18 20:29:38 GMT 2023","Tue Apr 18 20:29:41 GMT 2023","2874","","PortioTest","","PortioTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"broken","Tue Apr 18 20:29:32 GMT 2023","Tue Apr 18 20:29:35 GMT 2023","2228","","PortioTest","","PortioTest","blogArticleTest","Article names",""
"passed","Tue Apr 18 20:29:31 GMT 2023","Tue Apr 18 20:29:32 GMT 2023","1581","","PortioTest","","PortioTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Tue Apr 18 20:29:36 GMT 2023","Tue Apr 18 20:29:38 GMT 2023","1618","","PortioTest","","PortioTest","deleteProfileTest","Delete profile",""
