"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 19:50:41 GMT 2023","Tue Apr 18 19:50:42 GMT 2023","1173","","PortioTest","","PortioTest","loginWithExistingUserTest","loginWithExistingUserTest()",""
"passed","Tue Apr 18 19:50:36 GMT 2023","Tue Apr 18 19:50:37 GMT 2023","1688","","PortioTest","","PortioTest","logoutTest","logoutTest()",""
"passed","Tue Apr 18 19:50:22 GMT 2023","Tue Apr 18 19:50:24 GMT 2023","1728","","PortioTest","","PortioTest","loginWithNewlyRegisteredUserTest","loginWithNewlyRegisteredUserTest()",""
"passed","Tue Apr 18 19:50:42 GMT 2023","Tue Apr 18 19:50:44 GMT 2023","1717","","PortioTest","","PortioTest","saveImageTest","saveImageTest()",""
"passed","Tue Apr 18 19:50:19 GMT 2023","Tue Apr 18 19:50:22 GMT 2023","3178","","PortioTest","","PortioTest","registerTest","registerTest()",""
"passed","Tue Apr 18 19:50:24 GMT 2023","Tue Apr 18 19:50:36 GMT 2023","11972","","PortioTest","","PortioTest","blogArticleTest","blogArticleTest()",""
"passed","Tue Apr 18 19:50:39 GMT 2023","Tue Apr 18 19:50:41 GMT 2023","1767","","PortioTest","","PortioTest","loginWithMultipleUsersFromFileTest","loginWithMultipleUsersFromFileTest()",""
"passed","Tue Apr 18 19:50:37 GMT 2023","Tue Apr 18 19:50:39 GMT 2023","1824","","PortioTest","","PortioTest","deleteProfileTest","deleteProfileTest()",""
"passed","Tue Apr 18 19:50:44 GMT 2023","Tue Apr 18 19:50:46 GMT 2023","1934","","PortioTest","","PortioTest","editProfileTest","editProfileTest()",""
