"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 20:04:19 GMT 2023","Tue Apr 18 20:04:20 GMT 2023","983","","PortioTest","","PortioTest","loginWithExistingUserTest","Login with existing user",""
"failed","Tue Apr 18 20:03:43 GMT 2023","Tue Apr 18 20:04:15 GMT 2023","31287","","PortioTest","","PortioTest","blogArticleTest","Article names",""
"passed","Tue Apr 18 20:04:15 GMT 2023","Tue Apr 18 20:04:16 GMT 2023","1506","","PortioTest","","PortioTest","logoutTest","Logout",""
"passed","Tue Apr 18 20:04:18 GMT 2023","Tue Apr 18 20:04:19 GMT 2023","1454","","PortioTest","","PortioTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Tue Apr 18 20:03:41 GMT 2023","Tue Apr 18 20:03:43 GMT 2023","1789","","PortioTest","","PortioTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Tue Apr 18 20:03:34 GMT 2023","Tue Apr 18 20:03:41 GMT 2023","7309","","PortioTest","","PortioTest","registerTest","Registration",""
"passed","Tue Apr 18 20:04:21 GMT 2023","Tue Apr 18 20:04:23 GMT 2023","1620","","PortioTest","","PortioTest","editProfileTest","Edit profile",""
"passed","Tue Apr 18 20:04:16 GMT 2023","Tue Apr 18 20:04:18 GMT 2023","1589","","PortioTest","","PortioTest","deleteProfileTest","Delete profile",""
"passed","Tue Apr 18 20:04:20 GMT 2023","Tue Apr 18 20:04:21 GMT 2023","1392","","PortioTest","","PortioTest","saveImageTest","Save image",""
