"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 18 21:30:52 GMT 2023","Tue Apr 18 21:30:54 GMT 2023","2331","","PortioTest","","PortioTest","blogArticleTest","Article names",""
"passed","Tue Apr 18 21:31:04 GMT 2023","Tue Apr 18 21:31:06 GMT 2023","1932","","PortioTest","","PortioTest","editProfileTest","Edit profile",""
"passed","Tue Apr 18 21:30:50 GMT 2023","Tue Apr 18 21:30:52 GMT 2023","1720","","PortioTest","","PortioTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Tue Apr 18 21:31:01 GMT 2023","Tue Apr 18 21:31:02 GMT 2023","1155","","PortioTest","","PortioTest","loginWithExistingUserTest","Login with existing user",""
"passed","Tue Apr 18 21:30:46 GMT 2023","Tue Apr 18 21:30:50 GMT 2023","3636","","PortioTest","","PortioTest","registerTest","Registration",""
"passed","Tue Apr 18 21:30:54 GMT 2023","Tue Apr 18 21:30:56 GMT 2023","1783","","PortioTest","","PortioTest","logoutTest","Logout",""
"passed","Tue Apr 18 21:31:02 GMT 2023","Tue Apr 18 21:31:04 GMT 2023","1710","","PortioTest","","PortioTest","saveImageTest","Save image",""
"passed","Tue Apr 18 21:30:58 GMT 2023","Tue Apr 18 21:31:01 GMT 2023","3163","","PortioTest","","PortioTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Tue Apr 18 21:30:56 GMT 2023","Tue Apr 18 21:30:58 GMT 2023","1843","","PortioTest","","PortioTest","deleteProfileTest","Delete profile",""
