"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 00:23:44 GMT 2023","Wed Apr 19 00:23:47 GMT 2023","3021","","LoginTest","","LoginTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Wed Apr 19 00:23:41 GMT 2023","Wed Apr 19 00:23:43 GMT 2023","1802","","LoginTest","","LoginTest","logoutTest","Logout",""
"passed","Wed Apr 19 00:23:47 GMT 2023","Wed Apr 19 00:23:48 GMT 2023","1059","","LoginTest","","LoginTest","loginWithExistingUserTest","Login with existing user",""
"passed","Wed Apr 19 00:23:37 GMT 2023","Wed Apr 19 00:23:41 GMT 2023","4111","","LoginTest","","LoginTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"failed","Wed Apr 19 00:23:52 GMT 2023","Wed Apr 19 00:24:24 GMT 2023","32061","","BlogTest","","BlogTest","blogArticleTest","Article names",""
"passed","Wed Apr 19 00:24:27 GMT 2023","Wed Apr 19 00:24:28 GMT 2023","1316","","RegisterTest","","RegisterTest","registrationThenLoginTest","RegistrationThenLogin",""
"passed","Wed Apr 19 00:23:43 GMT 2023","Wed Apr 19 00:23:44 GMT 2023","1089","","LoginTest","","LoginTest","loginFunctionTest","Login function test",""
"passed","Wed Apr 19 00:24:26 GMT 2023","Wed Apr 19 00:24:27 GMT 2023","855","","RegisterTest","","RegisterTest","registerTest","Registration",""
"passed","Wed Apr 19 00:24:24 GMT 2023","Wed Apr 19 00:24:26 GMT 2023","1954","","FileSaveTest","","FileSaveTest","saveImageTest","Save image",""
"passed","Wed Apr 19 00:23:48 GMT 2023","Wed Apr 19 00:23:50 GMT 2023","1570","","ProfileTest","","ProfileTest","deleteProfileTest","Delete profile",""
"passed","Wed Apr 19 00:23:50 GMT 2023","Wed Apr 19 00:23:52 GMT 2023","1638","","ProfileTest","","ProfileTest","editProfileTest","Edit profile",""
