"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 22:25:28 GMT 2023","Tue Apr 18 22:25:29 GMT 2023","1621","","PortioTest","","PortioTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Tue Apr 18 22:25:54 GMT 2023","Tue Apr 18 22:25:56 GMT 2023","1717","","PortioTest","","PortioTest","editProfileTest","Edit profile",""
"passed","Tue Apr 18 22:25:51 GMT 2023","Tue Apr 18 22:25:52 GMT 2023","1012","","PortioTest","","PortioTest","loginWithExistingUserTest","Login with existing user",""
"passed","Tue Apr 18 22:25:42 GMT 2023","Tue Apr 18 22:25:43 GMT 2023","1500","","PortioTest","","PortioTest","logoutTest","Logout",""
"passed","Tue Apr 18 22:25:49 GMT 2023","Tue Apr 18 22:25:51 GMT 2023","2813","","PortioTest","","PortioTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Tue Apr 18 22:25:52 GMT 2023","Tue Apr 18 22:25:54 GMT 2023","1423","","PortioTest","","PortioTest","saveImageTest","Save image",""
"passed","Tue Apr 18 22:25:29 GMT 2023","Tue Apr 18 22:25:42 GMT 2023","12548","","PortioTest","","PortioTest","blogArticleTest","Article names",""
"passed","Tue Apr 18 22:25:24 GMT 2023","Tue Apr 18 22:25:27 GMT 2023","3240","","PortioTest","","PortioTest","registerTest","Registration",""
"passed","Tue Apr 18 22:25:43 GMT 2023","Tue Apr 18 22:25:49 GMT 2023","5407","","PortioTest","","PortioTest","deleteProfileTest","Delete profile",""
