"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 00:30:24 GMT 2023","Wed Apr 19 00:30:31 GMT 2023","7594","","LoginTest","","LoginTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Wed Apr 19 00:30:37 GMT 2023","Wed Apr 19 00:30:38 GMT 2023","1041","","LoginTest","","LoginTest","loginWithExistingUserTest","Login with existing user",""
"passed","Wed Apr 19 00:30:34 GMT 2023","Wed Apr 19 00:30:37 GMT 2023","3055","","LoginTest","","LoginTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Wed Apr 19 00:31:15 GMT 2023","Wed Apr 19 00:31:16 GMT 2023","873","","RegisterTest","","RegisterTest","registerTest","Registration",""
"passed","Wed Apr 19 00:31:16 GMT 2023","Wed Apr 19 00:31:17 GMT 2023","1364","","RegisterTest","","RegisterTest","registrationThenLoginTest","RegistrationThenLogin",""
"failed","Wed Apr 19 00:30:41 GMT 2023","Wed Apr 19 00:31:14 GMT 2023","32173","","BlogTest","","BlogTest","blogArticleTest","Article names",""
"passed","Wed Apr 19 00:30:38 GMT 2023","Wed Apr 19 00:30:40 GMT 2023","1614","","ProfileTest","","ProfileTest","deleteProfileTest","Delete profile",""
"passed","Wed Apr 19 00:30:33 GMT 2023","Wed Apr 19 00:30:34 GMT 2023","1031","","LoginTest","","LoginTest","loginFunctionTest","Login function test",""
"passed","Wed Apr 19 00:30:31 GMT 2023","Wed Apr 19 00:30:33 GMT 2023","1602","","LoginTest","","LoginTest","logoutTest","Logout",""
"passed","Wed Apr 19 00:31:14 GMT 2023","Wed Apr 19 00:31:15 GMT 2023","1470","","FileSaveTest","","FileSaveTest","saveImageTest","Save image",""
"passed","Wed Apr 19 00:30:40 GMT 2023","Wed Apr 19 00:30:41 GMT 2023","1714","","ProfileTest","","ProfileTest","editProfileTest","Edit profile",""
