"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 20:48:54 GMT 2023","Tue Apr 18 20:48:56 GMT 2023","2114","","PortioTest","","PortioTest","logoutTest","Logout",""
"passed","Tue Apr 18 20:48:49 GMT 2023","Tue Apr 18 20:48:51 GMT 2023","2498","","PortioTest","","PortioTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Tue Apr 18 20:49:06 GMT 2023","Tue Apr 18 20:49:08 GMT 2023","2335","","PortioTest","","PortioTest","editProfileTest","Edit profile",""
"passed","Tue Apr 18 20:48:56 GMT 2023","Tue Apr 18 20:48:59 GMT 2023","2219","","PortioTest","","PortioTest","deleteProfileTest","Delete profile",""
"passed","Tue Apr 18 20:49:02 GMT 2023","Tue Apr 18 20:49:04 GMT 2023","1305","","PortioTest","","PortioTest","loginWithExistingUserTest","Login with existing user",""
"passed","Tue Apr 18 20:48:59 GMT 2023","Tue Apr 18 20:49:02 GMT 2023","3819","","PortioTest","","PortioTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Tue Apr 18 20:48:36 GMT 2023","Tue Apr 18 20:48:49 GMT 2023","13175","","PortioTest","","PortioTest","registerTest","Registration",""
"broken","Tue Apr 18 20:48:51 GMT 2023","Tue Apr 18 20:48:54 GMT 2023","2727","","PortioTest","","PortioTest","blogArticleTest","Article names",""
"passed","Tue Apr 18 20:49:04 GMT 2023","Tue Apr 18 20:49:06 GMT 2023","1883","","PortioTest","","PortioTest","saveImageTest","Save image",""
