"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 18 23:03:11 GMT 2023","Tue Apr 18 23:03:12 GMT 2023","378","","ProfileTest","","ProfileTest","deleteProfileTest","Delete profile",""
"passed","Tue Apr 18 23:03:06 GMT 2023","Tue Apr 18 23:03:10 GMT 2023","4407","","LoginTest","","LoginTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"broken","Tue Apr 18 23:03:05 GMT 2023","Tue Apr 18 23:03:06 GMT 2023","475","","LoginTest","","LoginTest","logoutTest","Logout",""
"broken","Tue Apr 18 23:03:12 GMT 2023","Tue Apr 18 23:03:12 GMT 2023","370","","ProfileTest","","ProfileTest","editProfileTest","Edit profile",""
"passed","Tue Apr 18 23:03:13 GMT 2023","Tue Apr 18 23:03:14 GMT 2023","967","","RegisterTest","","RegisterTest","registerTest","Registration",""
"passed","Tue Apr 18 23:03:10 GMT 2023","Tue Apr 18 23:03:11 GMT 2023","1179","","LoginTest","","LoginTest","loginWithExistingUserTest","Login with existing user",""
"broken","Tue Apr 18 23:03:12 GMT 2023","Tue Apr 18 23:03:12 GMT 2023","358","","BlogTest","","BlogTest","blogArticleTest","Article names",""
"broken","Tue Apr 18 23:03:12 GMT 2023","Tue Apr 18 23:03:13 GMT 2023","347","","FileSaveTest","","FileSaveTest","saveImageTest","Save image",""
"broken","Tue Apr 18 23:03:02 GMT 2023","Tue Apr 18 23:03:05 GMT 2023","3066","","LoginTest","","LoginTest","loginWithNewlyRegisteredUserTest","Login with new user",""
