"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 18 21:32:17 GMT 2023","Tue Apr 18 21:32:19 GMT 2023","2250","","PortioTest","","PortioTest","blogArticleTest","Article names",""
"passed","Tue Apr 18 21:32:12 GMT 2023","Tue Apr 18 21:32:15 GMT 2023","2993","","PortioTest","","PortioTest","registerTest","Registration",""
"passed","Tue Apr 18 21:32:15 GMT 2023","Tue Apr 18 21:32:17 GMT 2023","1579","","PortioTest","","PortioTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Tue Apr 18 21:32:21 GMT 2023","Tue Apr 18 21:32:22 GMT 2023","1669","","PortioTest","","PortioTest","deleteProfileTest","Delete profile",""
"passed","Tue Apr 18 21:32:28 GMT 2023","Tue Apr 18 21:32:29 GMT 2023","1679","","PortioTest","","PortioTest","editProfileTest","Edit profile",""
"passed","Tue Apr 18 21:32:19 GMT 2023","Tue Apr 18 21:32:21 GMT 2023","1484","","PortioTest","","PortioTest","logoutTest","Logout",""
"passed","Tue Apr 18 21:32:22 GMT 2023","Tue Apr 18 21:32:25 GMT 2023","2975","","PortioTest","","PortioTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Tue Apr 18 21:32:26 GMT 2023","Tue Apr 18 21:32:28 GMT 2023","1472","","PortioTest","","PortioTest","saveImageTest","Save image",""
"passed","Tue Apr 18 21:32:25 GMT 2023","Tue Apr 18 21:32:26 GMT 2023","1021","","PortioTest","","PortioTest","loginWithExistingUserTest","Login with existing user",""
