"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 21:50:28 GMT 2023","Tue Apr 18 21:50:30 GMT 2023","1953","","PortioTest","","PortioTest","deleteProfileTest","Delete profile",""
"passed","Tue Apr 18 21:50:22 GMT 2023","Tue Apr 18 21:50:24 GMT 2023","2401","","PortioTest","","PortioTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Tue Apr 18 21:50:30 GMT 2023","Tue Apr 18 21:50:34 GMT 2023","3763","","PortioTest","","PortioTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Tue Apr 18 21:50:34 GMT 2023","Tue Apr 18 21:50:35 GMT 2023","1295","","PortioTest","","PortioTest","loginWithExistingUserTest","Login with existing user",""
"passed","Tue Apr 18 21:50:05 GMT 2023","Tue Apr 18 21:50:21 GMT 2023","16581","","PortioTest","","PortioTest","registerTest","Registration",""
"broken","Tue Apr 18 21:50:24 GMT 2023","Tue Apr 18 21:50:27 GMT 2023","2556","","PortioTest","","PortioTest","blogArticleTest","Article names",""
"passed","Tue Apr 18 21:50:37 GMT 2023","Tue Apr 18 21:50:39 GMT 2023","2096","","PortioTest","","PortioTest","editProfileTest","Edit profile",""
"passed","Tue Apr 18 21:50:27 GMT 2023","Tue Apr 18 21:50:28 GMT 2023","1854","","PortioTest","","PortioTest","logoutTest","Logout",""
"passed","Tue Apr 18 21:50:35 GMT 2023","Tue Apr 18 21:50:37 GMT 2023","1646","","PortioTest","","PortioTest","saveImageTest","Save image",""
