"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 00:01:24 GMT 2023","Wed Apr 19 00:01:25 GMT 2023","1745","","FileSaveTest","","FileSaveTest","saveImageTest","Save image",""
"passed","Wed Apr 19 00:01:25 GMT 2023","Wed Apr 19 00:01:26 GMT 2023","976","","RegisterTest","","RegisterTest","registerTest","Registration",""
"broken","Wed Apr 19 00:01:21 GMT 2023","Wed Apr 19 00:01:24 GMT 2023","2844","","BlogTest","","BlogTest","blogArticleTest","Article names",""
"passed","Wed Apr 19 00:01:09 GMT 2023","Wed Apr 19 00:01:11 GMT 2023","2038","","LoginTest","","LoginTest","logoutTest","Logout",""
"passed","Wed Apr 19 00:01:12 GMT 2023","Wed Apr 19 00:01:16 GMT 2023","3738","","LoginTest","","LoginTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Wed Apr 19 00:01:26 GMT 2023","Wed Apr 19 00:01:28 GMT 2023","1672","","RegisterTest","","RegisterTest","registrationThenLoginTest","RegistrationThenLogin",""
"passed","Wed Apr 19 00:01:04 GMT 2023","Wed Apr 19 00:01:09 GMT 2023","4707","","LoginTest","","LoginTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Wed Apr 19 00:01:17 GMT 2023","Wed Apr 19 00:01:19 GMT 2023","1898","","ProfileTest","","ProfileTest","deleteProfileTest","Delete profile",""
"passed","Wed Apr 19 00:01:19 GMT 2023","Wed Apr 19 00:01:21 GMT 2023","2043","","ProfileTest","","ProfileTest","editProfileTest","Edit profile",""
"passed","Wed Apr 19 00:01:16 GMT 2023","Wed Apr 19 00:01:17 GMT 2023","1179","","LoginTest","","LoginTest","loginWithExistingUserTest","Login with existing user",""
"passed","Wed Apr 19 00:01:11 GMT 2023","Wed Apr 19 00:01:12 GMT 2023","1172","","LoginTest","","LoginTest","loginFunctionTest","Login function test",""
